Region,Channel,Event,Timestamp,animal.ID,Trial,index,Signal,Reference,zdFF
Region0R,560,FD,-20.0,B1715,0,213,0.022188365,0.014352588,-0.38474771781525724
Region0R,560,FD,-19.9,B1715,0,214,0.022037479,0.014355532,-0.14251879251007576
Region0R,560,FD,-19.799999999999997,B1715,0,215,0.021996997,0.014323147,-0.39540062168045853
Region0R,560,FD,-19.699999999999996,B1715,0,216,0.0220706,0.014292969,-0.46246292474006606
Region0R,560,FD,-19.599999999999994,B1715,0,217,0.022069128,0.014329035,-0.44339787865801944
Region0R,560,FD,-19.499999999999993,B1715,0,218,0.021971236,0.014309162,0.1090566537382547
Region0R,560,FD,-19.39999999999999,B1715,0,219,0.021905729,0.014248808,0.1474413901796637
Region0R,560,FD,-19.29999999999999,B1715,0,220,0.021924866,0.014295178,0.578273630120567
Region0R,560,FD,-19.19999999999999,B1715,0,221,0.022051463,0.014274569,0.623273852956279
Region0R,560,FD,-19.099999999999987,B1715,0,222,0.022055143,0.014322411,0.11980000222774713
Region0R,560,FD,-18.999999999999986,B1715,0,223,0.022068392,0.014278249,0.07080179670172497
Region0R,560,FD,-18.899999999999984,B1715,0,224,0.022083113,0.014269416,-0.09179493797273397
Region0R,560,FD,-18.799999999999983,B1715,0,225,0.022044103,0.014336395,-0.1302828235055455
Region0R,560,FD,-18.69999999999998,B1715,0,226,0.021991845,0.014379085,0.10718634854429034
Region0R,560,FD,-18.59999999999998,B1715,0,227,0.021974916,0.014290761,-0.1564917497994083
Region0R,560,FD,-18.49999999999998,B1715,0,228,0.021953571,0.014340811,0.017847044218928774
Region0R,560,FD,-18.399999999999977,B1715,0,229,0.021954307,0.014284137,-0.08897210962793692
Region0R,560,FD,-18.299999999999976,B1715,0,230,0.021937379,0.014240711,-1.3767128025095656
Region0R,560,FD,-18.199999999999974,B1715,0,231,0.022054407,0.014343019,-1.1889178114185164
Region0R,560,FD,-18.099999999999973,B1715,0,232,0.02201687,0.014256904,-0.7541236018944072
Region0R,560,FD,-17.99999999999997,B1715,0,233,0.021953571,0.014243655,-0.6908768864557085
Region0R,560,FD,-17.89999999999997,B1715,0,234,0.021361067,0.014212006,-0.3142754494235564
Region0R,560,FD,-17.79999999999997,B1715,0,235,0.021775452,0.014144291,-0.4666345031842736
Region0R,560,FD,-17.699999999999967,B1715,0,236,0.021856415,0.014195077,-0.23422463847007852
