Region,Channel,Event,Timestamp,animal.ID,Trial,index,Signal,Reference,dFF,zdFF
Region0R,560,FD,-20.0,B1757,0,96,0.0347148619207443,0.0175859683212624,0.007595813035748892,0.6773865117455603
Region0R,560,FD,-19.9,B1757,0,97,0.034747983277395,0.017512365306483,0.00696112463155094,0.4887281385769421
Region0R,560,FD,-19.799999999999997,B1757,0,98,0.0345772242831066,0.0174542189248072,0.00682723102791084,0.4489288460842015
Region0R,560,FD,-19.699999999999996,B1757,0,99,0.0346221221221221,0.0174748277689454,0.006796698444099594,0.43985316807848274
Region0R,560,FD,-19.599999999999994,B1757,0,100,0.0346493552375905,0.0175153094270741,0.005732070932959091,0.12339726159924741
Region0R,560,FD,-19.499999999999993,B1757,0,101,0.034776688453159,0.0175447506329859,0.0060783432384286015,0.22632520134280995
Region0R,560,FD,-19.39999999999999,B1757,0,102,0.0347281104634046,0.0175285579697344,0.007060728304881128,0.5183348981266738
Region0R,560,FD,-19.29999999999999,B1757,0,103,0.0347288464935524,0.017483660130719,0.006743037189842406,0.4239025931768634
Region0R,560,FD,-19.19999999999999,B1757,0,104,0.0348260024730613,0.0175638874168286,0.0059964074911621895,0.20197015612472338
Region0R,560,FD,-19.099999999999987,B1757,0,105,0.0348421951363128,0.0175116292763352,0.006376748030385772,0.3150247304723849
Region0R,560,FD,-18.999999999999986,B1757,0,106,0.0346537714184773,0.0174770358593888,0.00746158220756513,0.6374869807209999
Region0R,560,FD,-18.899999999999984,B1757,0,107,0.0347575516693164,0.0175432785726903,0.008012767807819928,0.8013245078764613
Region0R,560,FD,-18.799999999999983,B1757,0,108,0.0347273744332568,0.0175631513866808,0.008344228742226989,0.8998498318631318
Region0R,560,FD,-18.69999999999998,B1757,0,109,0.0349349349349349,0.0175234057586999,0.008737583177486236,1.0167727303182374
Region0R,560,FD,-18.59999999999998,B1757,0,110,0.0349643761408467,0.0174991167638226,0.009198356433170438,1.1537355805011396
Region0R,560,FD,-18.49999999999998,B1757,0,111,0.0343328622740387,0.0173717835482541,0.009100150827538001,1.1245443905059997
Region0R,560,FD,-18.399999999999977,B1757,0,112,0.0342607313195548,0.0173695754578108,0.008988392865478735,1.0913248213894267
Region0R,560,FD,-18.299999999999976,B1757,0,113,0.0341959606665489,0.0173011246540658,0.009259495531085852,1.1719089119712405
Region0R,560,FD,-18.199999999999974,B1757,0,114,0.0340995407171878,0.0173224695283519,0.009826203166370557,1.3403602966631556
Region0R,560,FD,-18.099999999999973,B1757,0,115,0.0339736795619149,0.0172834599305188,0.009880453657131192,1.3564860195577377
Region0R,560,FD,-17.99999999999997,B1757,0,116,0.0340840840840841,0.0173313018901254,0.008452596743613735,0.9320617498845325
Region0R,560,FD,-17.89999999999997,B1757,0,117,0.0340804039333451,0.017332773950421,0.007765377534422109,0.7277888229509565
Region0R,560,FD,-17.79999999999997,B1757,0,118,0.0341944886062533,0.0173644232467762,0.007281227115425275,0.5838772124461582
Region0R,560,FD,-17.699999999999967,B1757,0,119,0.0343814402637932,0.0173666313372196,0.006633121597804681,0.39123066055205497
Region0R,560,FD,-17.599999999999966,B1757,0,120,0.0343814402637932,0.0174718836483542,0.006390613567211102,0.3191462011078567
Region0R,560,FD,-17.499999999999964,B1757,0,121,0.0344601954896073,0.0174689395277631,0.005619144532336433,0.08983037919152412
Region0R,560,FD,-17.399999999999963,B1757,0,122,0.0345845845845846,0.017501324854266,0.004777517133828812,-0.1603397117797021
Region0R,560,FD,-17.29999999999996,B1757,0,123,0.0343122534299005,0.0173916563622446,0.005643188749168424,0.09697741827658372
Region0R,560,FD,-17.19999999999996,B1757,0,124,0.0343218218218218,0.0174041688747571,0.0057145160817458785,0.11817915827611056
Region0R,560,FD,-17.09999999999996,B1757,0,125,0.0343755520226108,0.0174630512865807,0.004385640380698861,-0.27682337563601944
Region0R,560,FD,-16.999999999999957,B1757,0,126,0.0346272743331567,0.0175557910852028,0.004705751112183092,-0.18167185020056195
Region0R,560,FD,-16.899999999999956,B1757,0,127,0.0349032856385798,0.0174748277689454,0.004450107918742742,-0.257660679785425
Region0R,560,FD,-16.799999999999955,B1757,0,128,0.034751663428134,0.0175079491255962,0.005125995848590496,-0.056755926451357595
Region0R,560,FD,-16.699999999999953,B1757,0,129,0.034845139256904,0.0176146734970264,0.005773313185985318,0.1356563422918731
